indicator,atr_mult,min_hold,htf_filter,total_trades,win_rate,total_pnl,profit_factor
supertrend,1.5,6,False,189,0.24867724867724866,-1657.4394779259123,0.5206717768363273
supertrend,1.5,12,False,187,0.29411764705882354,-1660.6235050926896,0.5460049908167275
supertrend,2.0,8,False,188,0.28191489361702127,-1664.775372527217,0.5441299552537023
psar,3.0,6,False,444,0.31756756756756754,-1665.6219565150457,0.7090412626590663
kama,1.0,12,True,208,0.2932692307692308,-1693.9823362835878,0.5141450796696919
kama,1.5,12,True,208,0.2932692307692308,-1704.437436840905,0.5126163110204918
kama,2.0,12,True,208,0.2932692307692308,-1704.437436840905,0.5126163110204918
kama,2.5,12,True,208,0.2932692307692308,-1704.437436840905,0.5126163110204918
kama,3.0,12,True,208,0.2932692307692308,-1704.437436840905,0.5126163110204918
supertrend,1.5,8,False,188,0.26063829787234044,-1710.648032402683,0.5185650435253134
psar,1.0,8,False,433,0.3140877598152425,-1733.9562008835258,0.6940893547666805
psar,2.0,8,False,432,0.32175925925925924,-1738.127741905092,0.7013198208554368
supertrend,2.0,12,False,187,0.2994652406417112,-1744.7338743741275,0.537944470413351
psar,1.0,4,False,450,0.28888888888888886,-1776.1084273214467,0.6674062762022646
psar,2.5,8,False,432,0.32407407407407407,-1776.6339164346182,0.6966943330773251
psar,1.5,8,False,432,0.31712962962962965,-1789.9124168883927,0.6886789324461979
psar,3.0,8,False,432,0.32175925925925924,-1800.2010603113445,0.6930556695924133
jma,2.0,8,False,389,0.26735218508997427,-1837.5738444939057,0.6319409274212399
supertrend,1.0,18,False,183,0.31693989071038253,-1844.277493498032,0.5180305697668297
jma,2.5,8,False,389,0.2699228791773779,-1846.7902579951783,0.6307837543070126
jma,3.0,8,False,389,0.2699228791773779,-1846.7902579951783,0.6307837543070126
jma,1.5,8,False,389,0.2647814910025707,-1872.638814878936,0.6255830030263139
supertrend,2.5,12,False,187,0.31016042780748665,-1900.464979610335,0.5149340928188281
jma,1.0,8,False,389,0.2622107969151671,-1903.3160976365243,0.6176253604374031
psar,1.5,18,False,360,0.41944444444444445,-1919.6798036042073,0.686978081995143
psar,2.0,12,False,420,0.35714285714285715,-1920.3893646570361,0.6829447960699208
supertrend,2.5,8,False,188,0.2925531914893617,-1920.4401797262244,0.5083707253417103
psar,1.5,12,False,420,0.3547619047619048,-1928.2499902973423,0.6805954762068885
supertrend,1.5,18,False,183,0.3224043715846995,-1929.898018774189,0.5104112563715708
psar,1.0,18,False,361,0.4182825484764543,-1935.017712192176,0.6861192249130134
psar,1.0,12,False,420,0.3523809523809524,-1938.0696242491472,0.6780458506557944
supertrend,2.5,6,False,189,0.291005291005291,-1951.242135115119,0.5014848951151734
jma,2.0,12,False,349,0.27793696275071633,-1957.6797348931914,0.6117371526859074
jma,2.5,12,False,349,0.27793696275071633,-1957.6797348931914,0.6117371526859074
jma,3.0,12,False,349,0.27793696275071633,-1957.6797348931914,0.6117371526859074
psar,3.0,18,False,360,0.425,-1961.4954076042322,0.6838731855147644
psar,2.0,18,False,360,0.4222222222222222,-1962.2028152532466,0.683310745180801
psar,2.5,18,False,360,0.425,-1962.9868188805835,0.6837085984307407
psar,2.5,12,False,420,0.3595238095238095,-1965.7383975289679,0.677560994974497
psar,3.0,12,False,420,0.35714285714285715,-1966.8158659258786,0.6770290829752744
jma,1.5,12,False,349,0.27507163323782235,-1973.0018401214056,0.6078498575550073
supertrend,2.5,4,False,189,0.2857142857142857,-1974.4321480407039,0.49782039693008995
supertrend,3.0,12,False,187,0.31016042780748665,-1988.5627644919668,0.5022244527146865
supertrend,2.0,18,False,183,0.3224043715846995,-1991.7645286629709,0.503370735439582
supertrend,3.0,8,False,188,0.2978723404255319,-1995.4549356808166,0.4992240731069359
jma,2.0,6,False,425,0.24941176470588236,-2025.5470774673806,0.602934106915353
supertrend,3.0,6,False,189,0.2962962962962963,-2040.8804928371344,0.49127518362211936
jma,1.0,12,False,350,0.2742857142857143,-2045.290947072443,0.5948933967155989
jma,2.5,6,False,425,0.25176470588235295,-2045.6739129248974,0.6005741811391702
jma,3.0,6,False,425,0.25176470588235295,-2045.6739129248974,0.6005741811391702
jma,1.5,6,False,425,0.24705882352941178,-2046.4508634166098,0.5987450965689217
supertrend,3.0,4,False,189,0.2962962962962963,-2050.7402327366035,0.49007278337350835
supertrend,2.5,18,False,183,0.32786885245901637,-2070.591245219723,0.4920555225292315
jma,1.0,18,False,296,0.34797297297297297,-2082.29444347106,0.5902386579054938
jma,1.0,6,False,425,0.24235294117647058,-2106.9304877907616,0.5845089904400212
supertrend,3.0,18,False,183,0.32786885245901637,-2131.8477647873615,0.4836978143092672
jma,1.5,18,False,296,0.34797297297297297,-2144.0423451711176,0.582983189561738
jma,2.0,18,False,296,0.34797297297297297,-2162.2436051684954,0.5806122132565216
jma,2.5,18,False,296,0.34797297297297297,-2173.5023278410026,0.578995198918482
jma,3.0,18,False,296,0.34797297297297297,-2173.5023278410026,0.578995198918482
jma,2.0,4,False,469,0.21535181236673773,-2213.754911109087,0.5734469229449174
kama,1.0,18,False,362,0.36187845303867405,-2219.3482362723134,0.6296272045558938
jma,1.0,4,False,469,0.21108742004264391,-2227.717750231048,0.5661267186686539
jma,2.5,4,False,469,0.21535181236673773,-2233.8087155383605,0.5712472524331588
jma,3.0,4,False,469,0.21535181236673773,-2233.8087155383605,0.5712472524331588
jma,1.5,4,False,469,0.21321961620469082,-2239.3015070737456,0.5682415416254759
kama,1.5,18,False,362,0.36464088397790057,-2291.678845612969,0.6234900391003032
kama,2.0,18,False,361,0.3656509695290859,-2312.644585042754,0.6208791178970228
kama,2.5,18,False,361,0.3656509695290859,-2326.540026165173,0.619162225436268
kama,3.0,18,False,361,0.3656509695290859,-2416.174946317252,0.6086614779998373
kama,1.0,8,False,502,0.2788844621513944,-2478.1174671450703,0.6094165745496337
kama,2.0,6,False,542,0.26199261992619927,-2485.466898083458,0.6053377001902216
kama,2.5,6,False,542,0.26199261992619927,-2491.5896678538134,0.6047517123202776
kama,3.0,6,False,542,0.26199261992619927,-2491.5896678538134,0.6047517123202776
kama,1.5,8,False,499,0.2785571142284569,-2503.6640156447233,0.6067494597302774
kama,1.0,6,False,542,0.25830258302583026,-2505.574003332552,0.5991956311061624
kama,2.0,8,False,499,0.2785571142284569,-2512.278246780045,0.6060287570646596
kama,2.5,8,False,499,0.2785571142284569,-2550.9043922583714,0.6010135681361479
kama,2.0,4,False,601,0.22795341098169716,-2558.1810776176867,0.5947205911701077
kama,1.0,4,False,601,0.22628951747088186,-2565.688719489662,0.5898656971602249
kama,2.5,4,False,601,0.22795341098169716,-2574.5679997806205,0.5931826505611086
kama,3.0,4,False,601,0.22795341098169716,-2574.5679997806205,0.5931826505611086
kama,1.5,6,False,542,0.26014760147601473,-2584.7530873594233,0.590637983116489
kama,3.0,8,False,499,0.2785571142284569,-2591.841128698433,0.5957570867447733
kama,1.0,12,False,449,0.30957683741648107,-2631.9295279057333,0.589729157517565
kama,1.5,12,False,448,0.31026785714285715,-2654.0099770228726,0.5877185822976723
kama,1.5,4,False,601,0.22628951747088186,-2656.743340024244,0.5800976771695275
kama,2.0,12,False,448,0.31026785714285715,-2662.510350469474,0.5865359092406829
kama,2.5,12,False,448,0.31026785714285715,-2682.564563968249,0.58403238102164
kama,3.0,12,False,448,0.31026785714285715,-2710.8681050323607,0.5802628874288164
