symbol,indicator,direction,total_trades,winning_trades,losing_trades,win_rate,total_pnl,avg_pnl,max_drawdown,start_capital,end_capital,return_pct
AAPL,supertrend,long,13,5,8,0.38461538461538464,56.37422147104587,4.336478574695836,0.040836267318118895,1000,1056.3742214710458,5.6374221471045765
AAPL,supertrend,short,12,3,9,0.25,-113.34558901230582,-9.445465751025486,0.115264391762656,1000,886.6544109876944,-11.33455890123056
AAPL,jma,long,38,11,27,0.2894736842105263,41.536101524775894,1.0930553032835761,0.07950931327768707,1000,1041.5361015247759,4.153610152477586
AAPL,jma,short,38,7,31,0.18421052631578946,-221.04684782861995,-5.817022311279472,0.2211867623112744,1000,778.9531521713802,-22.104684782861977
AAPL,kama,long,40,12,28,0.3,-2.723822493713854,-0.06809556234284635,0.08186328973258537,1000,997.2761775062862,-0.2723822493713783
AAPL,kama,short,40,8,32,0.2,-191.6779973386613,-4.791949933466532,0.193675007043331,1000,808.3220026613385,-19.16779973386615
GOOGL,supertrend,long,13,6,7,0.46153846153846156,84.39448352988461,6.491883348452662,0.08053462036164026,1200,1284.394483529884,7.032873627490327
GOOGL,supertrend,short,14,2,12,0.14285714285714285,-284.8368612452499,-20.345490088946423,0.24693822838192026,1200,915.1631387547502,-23.736405103770817
GOOGL,jma,long,27,11,16,0.4074074074074074,397.95321998545523,14.739008147609454,0.05476728844906546,1200,1597.9532199854527,33.16276833212106
GOOGL,jma,short,25,5,20,0.2,-224.9790134747776,-8.999160538991104,0.20528922131262684,1200,975.0209865252218,-18.748251122898182
GOOGL,kama,long,38,15,23,0.39473684210526316,255.60952394950243,6.726566419723748,0.07193952882930327,1200,1455.6095239494998,21.300793662458318
GOOGL,kama,short,35,6,29,0.17142857142857143,-242.5714084302583,-6.930611669435951,0.21458781698162577,1200,957.4285915697418,-20.214284035854853
NVDA,supertrend,long,14,6,8,0.42857142857142855,-58.29984961254581,-4.164274972324701,0.1011283866334711,1800,1741.7001503874542,-3.238880534030323
NVDA,supertrend,short,15,3,12,0.2,-131.13708042719446,-8.74247202847963,0.13113708042719452,1000,868.8629195728055,-13.113708042719452
NVDA,jma,long,30,10,20,0.3333333333333333,-25.292059714513282,-0.8430686571504428,0.1356671863447219,1800,1774.7079402854881,-1.4051144285839934
NVDA,jma,short,31,9,22,0.2903225806451613,-149.51670030620244,-4.823119364716208,0.1646715807040714,1000,850.4832996937976,-14.951670030620242
NVDA,kama,long,38,13,25,0.34210526315789475,14.961222427380719,0.3937163796679137,0.1416108361517388,1800,1814.9612224273812,0.8311790237434025
NVDA,kama,short,36,12,24,0.3333333333333333,-170.3633603301639,-4.732315564726775,0.19637342755985504,1000,829.6366396698361,-17.03633603301639
MSFT,supertrend,long,16,5,11,0.3125,-78.83677768465132,-4.927298605290708,0.08641329325237074,1100,1021.1632223153489,-7.1669797895137375
MSFT,supertrend,short,16,4,12,0.25,-81.37335196585076,-5.085834497865672,0.08150352871439044,1100,1018.6266480341493,-7.397577451440974
MSFT,jma,long,29,7,22,0.2413793103448276,-73.80711876067402,-2.5450730607128973,0.09617409282820147,1100,1026.1928812393255,-6.709738069152225
MSFT,jma,short,35,6,29,0.17142857142857143,-147.73625025042446,-4.221035721440699,0.13430568204584067,1100,952.2637497495753,-13.430568204584068
MSFT,kama,long,39,10,29,0.2564102564102564,-113.18829200918334,-2.902263897671368,0.13748015722866405,1100,986.8117079908158,-10.289844728107658
MSFT,kama,short,44,7,37,0.1590909090909091,-160.25035552606042,-3.6420535346831913,0.14568214138732752,1100,939.7496444739397,-14.568214138732753
META,supertrend,long,14,3,11,0.21428571428571427,-127.60305558461695,-9.114503970329782,0.1694797693574747,1000,872.396944415383,-12.760305558461699
META,supertrend,short,14,5,9,0.35714285714285715,-90.80453211318574,-6.486038008084696,0.1417390159381257,1000,909.1954678868143,-9.08045321131857
META,jma,long,28,5,23,0.17857142857142858,-206.4576415676815,-7.373487198845767,0.23056326934033808,1000,793.5423584323186,-20.64576415676814
META,jma,short,29,6,23,0.20689655172413793,-158.67025379401773,-5.4713880618626805,0.17104231648338306,1000,841.329746205982,-15.867025379401797
META,kama,long,40,10,30,0.25,-217.29611465401496,-5.432402866350374,0.22913653790991034,1000,782.7038853459851,-21.72961146540149
META,kama,short,41,10,31,0.24390243902439024,-141.89140777610478,-3.460766043319629,0.16464136530415954,1000,858.1085922238954,-14.189140777610465
AMD,supertrend,long,15,5,10,0.3333333333333333,-72.76873117105319,-4.851248744736879,0.168605100404287,1000,927.2312688289464,-7.276873117105357
AMD,supertrend,short,16,4,12,0.25,-331.00028363087,-20.687517726929375,0.3333935320626506,1000,668.9997163691297,-33.100028363087034
AMD,jma,long,37,10,27,0.2702702702702703,-216.91212992185345,-5.8624899978879315,0.3339893055075004,1000,783.0878700781464,-21.691212992185367
AMD,jma,short,31,6,25,0.1935483870967742,-429.73987033855155,-13.862576462533921,0.4888997529263533,1000,570.2601296614486,-42.973987033855146
AMD,kama,long,42,10,32,0.23809523809523808,45.67620552350871,1.0875287029406837,0.23033764695819967,1000,1045.6762055235085,4.567620552350854
AMD,kama,short,39,10,29,0.2564102564102564,-391.9343204316526,-10.049597959785965,0.4406537501836269,1000,608.0656795683475,-39.19343204316525
QBTS,supertrend,long,15,6,9,0.4,570.33282068926,38.022188045950664,0.20017729178463786,1000,1570.3328206892597,57.03328206892597
QBTS,supertrend,short,14,5,9,0.35714285714285715,-256.87638494131795,-18.34831321009414,0.4686595109245585,1000,743.1236150586819,-25.68763849413181
