symbol,indicator,direction,total_trades,winning_trades,losing_trades,win_rate,total_pnl,avg_pnl,max_drawdown,start_capital,end_capital,return_pct
AAPL,supertrend,long,21,8,13,0.38095238095238093,15.981534464464392,0.7610254506887806,0.17092485753761222,1000,1015.9815344644641,1.5981534464464062
AAPL,supertrend,short,21,9,12,0.42857142857142855,-64.52628279695297,-3.0726801331882365,0.1293696670518186,1000,935.4737172030469,-6.452628279695307
AAPL,jma,long,63,19,44,0.30158730158730157,-99.05740387483051,-1.5723397440449287,0.146266493999719,1000,900.9425961251698,-9.905740387483023
AAPL,jma,short,64,16,48,0.25,-172.34994026267717,-2.6929678166043307,0.2658076330757689,1000,827.650059737323,-17.234994026267703
AAPL,kama,long,74,22,52,0.2972972972972973,-179.84102825209462,-2.430284165568846,0.21664716737135767,1000,820.1589717479059,-17.984102825209412
AAPL,kama,short,73,18,55,0.2465753424657534,-178.61934372542416,-2.4468403250058106,0.24045856182259168,1000,821.3806562745762,-17.861934372542386
GOOGL,supertrend,long,25,12,13,0.48,5.098125754297719,0.20392503017190877,0.11471358218592977,1200,1205.0981257542983,0.42484381285819006
GOOGL,supertrend,short,25,7,18,0.28,-253.37796068425172,-10.135118427370069,0.2979781023431983,1200,946.6220393157478,-21.11483005702102
GOOGL,jma,long,58,19,39,0.3275862068965517,40.71526323754072,0.7019872971989779,0.23793319299052948,1200,1240.71526323754,3.392938603128338
GOOGL,jma,short,56,13,43,0.23214285714285715,-324.0535835112796,-5.7866711341299935,0.31002537299260663,1200,875.9464164887204,-27.004465292606632
GOOGL,kama,long,74,25,49,0.33783783783783783,283.50776692825275,3.831186039570983,0.14219706659193415,1200,1483.507766928251,23.62564724402091
GOOGL,kama,short,71,18,53,0.2535211267605634,-293.6128771658643,-4.135392636138934,0.29418116303261455,1200,906.387122834136,-24.467739763822
NVDA,supertrend,long,25,11,14,0.44,-7.100989938416966,-0.2840395975366786,0.1289086996594075,1800,1792.8990100615833,-0.39449944102314777
NVDA,supertrend,short,25,10,15,0.4,81.71005752807616,3.2684023011230465,0.17700264306500552,1000,1081.710057528076,8.171005752807604
NVDA,jma,long,55,22,33,0.4,358.6933910229312,6.52169801859875,0.16010058259436608,1800,2158.693391022936,19.927410612385327
NVDA,jma,short,59,17,42,0.288135593220339,-161.35943380027734,-2.7349056576318196,0.337330449754083,1000,838.6405661997226,-16.135943380027744
NVDA,kama,long,74,28,46,0.3783783783783784,322.55676753514854,4.358875236961467,0.163094685741879,1800,2122.556767535154,17.91982041861967
NVDA,kama,short,76,20,56,0.2631578947368421,-389.55707614489216,-5.125751001906476,0.49309546310470476,1000,610.4429238551079,-38.955707614489214
MSFT,supertrend,long,22,6,16,0.2727272727272727,-52.70295328473868,-2.3955887856699403,0.1296637042267109,1100,1047.297046715261,-4.791177571339899
MSFT,supertrend,short,22,6,16,0.2727272727272727,-106.08770582844353,-4.822168446747433,0.11244299222151705,1100,993.9122941715566,-9.644336893494856
MSFT,jma,long,55,16,39,0.2909090909090909,-44.38615570585631,-0.807021012833751,0.1767043606403239,1100,1055.6138442941442,-4.035105064168709
MSFT,jma,short,63,13,50,0.20634920634920634,-231.39413284182825,-3.672922743521083,0.2293649448285722,1100,868.6058671581726,-21.035830258347946
MSFT,kama,long,72,21,51,0.2916666666666667,-114.67937139971447,-1.5927690472182565,0.19208099568830955,1100,985.3206286002853,-10.425397399974063
MSFT,kama,short,72,16,56,0.2222222222222222,-222.67731723766505,-3.0927405171897924,0.23452983502654465,1100,877.3226827623348,-20.24339247615138
META,supertrend,long,22,7,15,0.3181818181818182,-97.33772393199736,-4.424441996908971,0.1437431137494814,1000,902.6622760680027,-9.733772393199729
META,supertrend,short,21,9,12,0.42857142857142855,-48.78488464294283,-2.3230897449020396,0.17040271019970452,1000,951.2151153570575,-4.878488464294253
META,jma,long,56,12,44,0.21428571428571427,-203.6266419502903,-3.6361900348266123,0.2654968166783572,1000,796.3733580497093,-20.362664195029073
META,jma,short,49,12,37,0.24489795918367346,-269.71917040902053,-5.504472865490215,0.28255368187317104,1000,730.2808295909796,-26.971917040902042
META,kama,long,71,20,51,0.28169014084507044,-165.52395688693937,-2.3313233364357657,0.21593169278210414,1000,834.4760431130609,-16.55239568869391
META,kama,short,60,16,44,0.26666666666666666,-323.47317100448197,-5.391219516741367,0.3587492837423424,1000,676.5268289955183,-32.34731710044817
AMD,supertrend,long,31,9,22,0.2903225806451613,-246.92518842940763,-7.965328659013149,0.2775898147446394,1000,753.0748115705926,-24.69251884294074
AMD,supertrend,short,30,7,23,0.23333333333333334,-281.12349672859153,-9.370783224286384,0.39556654931544016,1000,718.8765032714084,-28.11234967285916
AMD,jma,long,62,18,44,0.2903225806451613,-198.16535585328288,-3.1962154169884336,0.32347046874543817,1000,801.834644146717,-19.816535585328303
AMD,jma,short,57,11,46,0.19298245614035087,-518.2660102281939,-9.092386144354279,0.5880152925493086,1000,481.73398977180585,-51.82660102281941
AMD,kama,long,80,23,57,0.2875,-193.51185228611914,-2.4188981535764893,0.35959618957685274,1000,806.4881477138806,-19.35118522861194
AMD,kama,short,72,18,54,0.25,-511.2963567562569,-7.101338288281346,0.5975898171673643,1000,488.70364324374304,-51.12963567562569
QBTS,supertrend,long,27,8,19,0.2962962962962963,523.4064781409926,19.38542511633306,0.6198916625467358,1000,1523.4064781409927,52.34064781409927
QBTS,supertrend,short,26,7,19,0.2692307692307692,-629.0130919953228,-24.19281123058934,0.7033597479193398,1000,370.986908004677,-62.90130919953231
