total_trades,wins,win_rate,total_pnl,final_equity,return_pct,max_drawdown,symbol,indicator,param_a,param_b,atr_mult,min_hold_bars
88,41,0.4659090909090909,4429.130321895574,5429.130321895574,442.9130321895574,55.4044872845637,QBTS,kama,10,20,1.0,24
159,34,0.2138364779874214,-98.6826719645499,901.3173280354498,-9.868267196455019,40.11145449724543,INTC,kama,14,20,2.5,0
65,36,0.5538461538461539,639.5852360295421,1839.5852360295385,53.29876966912821,12.078342000519312,GOOGL,kama,20,40,0.0,24
105,51,0.4857142857142857,2398.9501430665655,4198.950143066558,133.27500794814208,9.693792901402192,NVDA,kama,20,20,1.0,12
