total_trades,wins,win_rate,total_pnl,final_equity,return_pct,max_drawdown,symbol,indicator,param_a,param_b,atr_mult,min_hold_bars
215,50,0.23255813953488372,1909.6366616662935,2909.6366616662945,190.96366616662945,61.64572536817678,QBTS,kama,10,20,1.0,0
160,56,0.35,3371.19732978705,4371.19732978705,337.11973297870503,56.6986359036856,QBTS,kama,10,20,1.0,6
131,56,0.42748091603053434,3484.2248637784946,4484.224863778495,348.4224863778495,63.891688843753414,QBTS,kama,10,20,1.0,12
88,41,0.4659090909090909,4429.130321895574,5429.130321895574,442.9130321895574,55.4044872845637,QBTS,kama,10,20,1.0,24
215,51,0.2372093023255814,2595.8834484416584,3595.883448441658,259.58834484416576,62.24905998509147,QBTS,kama,10,20,1.5,0
160,56,0.35,3338.878285748267,4338.878285748267,333.88782857482676,56.88777270823449,QBTS,kama,10,20,1.5,6
131,56,0.42748091603053434,3085.8548581708897,4085.85485817089,308.585485817089,63.891688843753414,QBTS,kama,10,20,1.5,12
88,41,0.4659090909090909,4314.228444972036,5314.228444972036,431.4228444972036,56.90376372393185,QBTS,kama,10,20,1.5,24
215,51,0.2372093023255814,2595.8834484416584,3595.883448441658,259.58834484416576,62.24905998509147,QBTS,kama,10,20,2.0,0
160,56,0.35,3338.878285748267,4338.878285748267,333.88782857482676,56.88777270823449,QBTS,kama,10,20,2.0,6
131,56,0.42748091603053434,3085.8548581708897,4085.85485817089,308.585485817089,63.891688843753414,QBTS,kama,10,20,2.0,12
88,41,0.4659090909090909,4310.9100859130385,5310.9100859130385,431.0910085913038,56.98713351857464,QBTS,kama,10,20,2.0,24
215,51,0.2372093023255814,2595.8834484416584,3595.883448441658,259.58834484416576,62.24905998509147,QBTS,kama,10,20,2.5,0
160,56,0.35,3338.878285748267,4338.878285748267,333.88782857482676,56.88777270823449,QBTS,kama,10,20,2.5,6
131,56,0.42748091603053434,3085.8548581708897,4085.85485817089,308.585485817089,63.891688843753414,QBTS,kama,10,20,2.5,12
88,41,0.4659090909090909,4310.9100859130385,5310.9100859130385,431.0910085913038,56.98713351857464,QBTS,kama,10,20,2.5,24
215,51,0.2372093023255814,2595.8834484416584,3595.883448441658,259.58834484416576,62.24905998509147,QBTS,kama,10,20,0.0,0
160,56,0.35,3338.878285748267,4338.878285748267,333.88782857482676,56.88777270823449,QBTS,kama,10,20,0.0,6
131,56,0.42748091603053434,3085.8548581708897,4085.85485817089,308.585485817089,63.891688843753414,QBTS,kama,10,20,0.0,12
88,41,0.4659090909090909,4284.020666130944,5284.020666130944,428.4020666130944,56.98713351857464,QBTS,kama,10,20,0.0,24
204,48,0.23529411764705882,2017.1736084990075,3017.173608499007,201.71736084990067,57.29165185447294,QBTS,kama,10,30,1.0,0
155,53,0.3419354838709677,3062.7561746324063,4062.7561746324063,306.2756174632406,55.96088114024346,QBTS,kama,10,30,1.0,6
128,52,0.40625,2875.1623538846807,3875.1623538846807,287.5162353884681,65.86339185976723,QBTS,kama,10,30,1.0,12
